title,subtitle,author,synopsis,title_type,mission
Falling Upward,A Spirituality for the Two Halves of Life,"Richard Rohr, OFM","Alexandra got this book for me after I told her how much I loved David Brooks’ The Second Mountain. Apparently it is recommended alongside that book on Amazon. With 1,400+ reviews, Alexandra thought I might like it. Not only did I like the book, I loved it. And, I fell in love with Richard Rohr. Father Rohr is a Franciscan priest who beautifully integrates his faith with wisdom from various perspectives. Big Ideas we explore include our main Job in life (remembering that we're light bulbs and staying screwed in!), life's two major tasks, the fact that the way UP is DOWN (hence, the title of the book: Falling Upward), the hero and the heroine and their journeys, the paradox of the ego (""You ironically need a very strong ego structure to let go of your ego""), and how to become a Serene Disciple (let God drive).",PhilosophersNotes,Purpose
Self-Reliance,,Ralph Waldo Emerson,"Ralph Waldo Emerson. He’s the great-great-grandfather in my spiritual family tree. We named our son Emerson after this great 19th century philosopher and when I imagine the heroes whose qualities I want to emulate, he’s on the top of the list. Big Ideas we explore include: Trust thyself (every heart vibrates to that iron string!), nonconformity (and the integrity of your own mind), what must you do? (vs. what will they think?), Hobgoblins (begone), your voyage (of a thousand zigs and zags), and the Royal You (act like that now!).",PhilosophersNotes,Purpose
Future Visions,The Unpublished Papers of Abraham Maslow,Dr. Edward Hoffman,"As you know if you’ve been following along, I love Abraham Maslow and feel a deep kinship to him and his work. We have featured two of the books he published during his lifetime: Toward a Psychology of Being and Motivation and Personality. Although this book has only ONE review on Amazon and I could only buy a used copy of it, I knew I’d love it. And, although I had already been deeply influenced by Maslow and his thinking, there was something about reading his unpublished essays and journal thoughts that made me feel that much more connected to this great man. Big Ideas we explore include Maslow’s thoughts on the “eupsychian ideal” (aka: the “eudaemonic ideal”!), the psychology of happiness (eudaimonology!!), Stoic philosophy (Maslow was a fan), vicious cultural influences (Maslow was NOT a fan!), and the Jonah Complex (ANSWER YOUR HEROIC CALL, already!!).",PhilosophersNotes,Purpose
Life's Great Question,Discover How You Contribute To The World,Tom Rath,"I’m a big fan of Tom Rath and his work. And... I’m not alone. His 10 books have sold over 10 million copies. Dan Pink (author of Drive and When) calls him “One of the most successful nonfiction writers of his generation.” We featured two of his earlier books: Eat Move Sleep and Are You Fully Charged? Plus: His children’s book called The Rechargeables remains one of my all-time favorites. “Life’s Great Question” that beckons all of us (“What can I contribute?”) is beautifully framed by the Martin Luther King, Jr. quote that kicks off the book: “Life’s most persistent and urgent question is: What are you doing for others?” This book is a field manual to help us go about answering that question so we can, as per the subtitle of the book: “Discover How You Contribute to the World.” Big Ideas we explore include creating a sense of urgency in life, Purpose 2.0, connecting what we do to those we serve, undivided attention (our new secret weapon), and creating the energy to be our best.",PhilosophersNotes,Purpose
Die Empty,Unleash Your Best Work Every Day,Todd Henry,"How do you want to die? With a calm serenity knowing you gave your best or with deep regret that you never took the risks and cultivated the discipline to show up with urgency and diligence each day to create a life of deep meaning? The answer is obvious. Big Ideas we explore on how to die empty include optimism vs. wishing, the root of mediocrity, the 3 S’s of goal setting and dealing with The Lag.",PhilosophersNotes,Purpose
The Four Purposes of Life,Finding Meaning and Direction in a Changing World,Dan Millman,"Dan Millman is one of my favorite teachers and deepest inspirations. This is a super concise, quick-reading book (150 pages) in which Dan synthesizes wisdom from many of his other books—shining light on how we can engage in the four purposes of life to create meaning in an ever-changing world. Big Ideas we explore include a quick look at the 4 purposes of life, the fact that daily life is your master teacher, the required classes in the school of life (and how you’re graded), the importance of deciding to decide (then going all in), how to live happily ever after, and making every moment extraordinary.",PhilosophersNotes,Purpose
The Five Major Pieces to the Life Puzzle,,Jim Rohn,"Jim Rohn influenced a generation of self-help gurus and this book lays out his ""five major keys for the life puzzle."" We'll take a quick look at your life philosophy, what you're doing with the 86,400 ticks each day, how to finish before you start as you design your ideal life and other such goodness.",PhilosophersNotes,Purpose
#1 +1 or -1 = Destiny Math,What Must YOU be?,,Abraham Maslow studied the greatest people of his generation. People like Eleanor Roosevelt and Albert Einstein. He told us about the,+1s,Purpose
#89 Ikigai,What's Your Reason for Getting Up in the Morning,,Do you know what the word for retirement is in Okinawa? Here’s a hint: There ISN’T a word for retirement in Okinawa. (Hah.) Think about,+1s,Purpose
#124 Follow Your Bliss,Jump into Enlightenment,,"The great mythologist Joseph Campbell told us to follow our bliss. Why? And… How’d he come up with that? Well, among many other things,",+1s,Purpose
#125 Follow Your Grunt,Bliss + Grunt + Grunt = Magic,,"In our last +1 we had fun exploring the ancient wisdom that led Joseph Campbell to tell us: “Follow your bliss!” Later in his career,",+1s,Purpose
#131 How's Your Hedgehog?,3 Circles on What You’re Here to Do,,"Jim Collins is arguably the greatest business thinker alive. He’s written classics like Good to Great, Built to Last and Great by Choice",+1s,Purpose
#186 100 Questions,An Exercise to Create a Meaningful Life,,In our last +1 we met our Angel’s Advocate via Michael Gelb’s great book How to Think Like Leonardo da Vinci. Here’s another,+1s,Purpose
#205 To Thine Own Self Be True,The Very First Quote I Ever Memorized,,"William Shakespeare once told us (via Polonius in Hamlet): “This above all: to thine own self be true, And it must follow, as the night",+1s,Purpose
#212 Eulogy Virtues,How to Chisel on Your Road to Character,,"In our last +1, we talked about the fact that the word character comes from the Greek word for “chisel.” David Brooks wrote a book all",+1s,Purpose
#253 Your Dreamer + Your Doer,How to Build Your Confidence: Have Both in Mind Today,,"In my interview with Barry Michels about the great book he wrote with Phil Stutz called Coming Alive, we talked about a bunch of things. One",+1s,Purpose
#285 How Are You Intelligent?,The 2 Steps to Getting in Your Element,,"In our last +1, we had fun hanging out with your Genius. Recall: EVERYONE in ancient Roman times was said to have their own guiding spirit,",+1s,Purpose
#309 The Definition of Hell,Meeting the Person You Could Have Become,,"In Getting Grit, Caroline Adams Miller walks us through the science of grit and then helps us apply it to our lives. One of the main lessons",+1s,Purpose
#330 Hit the Rock,A Parable on How to Get Clarity,,"In our last +1, we took a quick look at Warren Buffett’s three-step goal setting process and then chatted about how it fits into our Big",+1s,Purpose
#355 The Decade View,What’s YOURS look like?,,"Matthew Kelly has written a number of great books. We have Notes on three of them: Perfectly Yourself, The Rhythm of Life and Off Balance.",+1s,Purpose
#368 Zero-Based Thinking,What Goes if You Started at Zero?,,Brian Tracy is one of my favorite old-school self-development teachers. I can still remember listening to his CDs back in the day when I was,+1s,Purpose
#397 Seeds of (Metaphorical) Corn,You Planting Yours?,,"We’re on a roll with some mindfulness wisdom via Goenka, so here’s one more story. Once upon a time an Indian woman with a large family",+1s,Purpose
#398 The Parable of the Talents,Using Yours?,,"In our last +1, we talked about a wise daughter-in-law who planted her seeds and reaped a bountiful harvest. Another great teacher once told",+1s,Purpose
"#399 Bonzai Trees, Goldfish, and You",How to 100x Your Awesome,,Today we’re going to chat about bonzai trees and goldfish and you. Alan Cohen puts it so perfectly (in his epically named book Why Your,+1s,Purpose
#403 Capacities Clamoring to Be Used,Answering Your Soul’s Cries,,"As you know (and as we’ve discussed many times), Abraham Maslow once said that “What one can be, one must be.” He described this as",+1s,Purpose
"#404 Caterpillars, Butterflies and You","(And Maslow, Aristotle, Stoics and Others)",,"In our last +1, we talked about Abraham Maslow’s wisdom and the ancient etymology of the word clamor in the context of your capacities",+1s,Purpose
